id,pid,series_tag,name
kw142174893,142174893,BULGARO,BULGARO イエロー
kw142174985,142174985,BULGARO,BULGARO オリーブ
kw144863774,144863774,BULGARO,BULGARO キャメル
kw155783293,155783293,BULGARO,BULGARO グリーン
kw153122754,153122754,BULGARO,BULGARO グレー
kw142053258,142053258,BULGARO,BULGARO コニャック
kw161703674,161703674,BULGARO,BULGARO シエナ
kw142044123,142044123,BULGARO,BULGARO ダークブラウン
kw142102656,142102656,BULGARO,BULGARO ネイビー
kw139897477,139897477,BULGARO,BULGARO ブラウン
kw142086646,142086646,BULGARO,BULGARO ブラック
kw173296707,173296707,BULGARO,BULGARO ブルー
kw144864221,144864221,BULGARO,BULGARO レッド
kw153128716,153128716,BULGARO,BULGARO ワイン
kw142098205,142098205,NEBRASKA,NEBRASKA イエロー
kw142101001,142101001,NEBRASKA,NEBRASKA オリーブ
kw145547570,145547570,NEBRASKA,NEBRASKA キャメル
kw159900455,159900455,NEBRASKA,NEBRASKA グリーン
kw153747469,153747469,NEBRASKA,NEBRASKA グレー
kw142098655,142098655,NEBRASKA,NEBRASKA コニャック
kw161703649,161703649,NEBRASKA,NEBRASKA シエナ
kw140633732,140633732,NEBRASKA,NEBRASKA ダークブラウン
kw142099497,142099497,NEBRASKA,NEBRASKA ネイビー
kw142064093,142064093,NEBRASKA,NEBRASKA ブラウン
kw142100093,142100093,NEBRASKA,NEBRASKA ブラック
kw173297104,173297104,NEBRASKA,NEBRASKA ブルー
kw145547651,145547651,NEBRASKA,NEBRASKA レッド
kw155783348,155783348,NEBRASKA,NEBRASKA ワイン
kw142277908,142277908,TENDER,TENDER イエロー
kw142278005,142278005,TENDER,TENDER オリーブ
kw162805150,162805150,TENDER,TENDER キャメル
kw164301924,164301924,TENDER,TENDER グレー
kw139898846,139898846,TENDER,TENDER コニャック
kw142277492,142277492,TENDER,TENDER ダークブラウン
kw142278106,142278106,TENDER,TENDER ネイビー
kw142277231,142277231,TENDER,TENDER ブラウン
kw142278160,142278160,TENDER,TENDER ブラック
kw172107644,172107644,TENDER,TENDER ワイン
kw159732492,159732492,REVERSO,REVERSO コニャック
kw159732507,159732507,REVERSO,REVERSO シエナ
kw159732534,159732534,REVERSO,REVERSO ダークブラウン
kw159732636,159732636,REVERSO,REVERSO トープ
kw159732602,159732602,REVERSO,REVERSO ネイビー
kw159732522,159732522,REVERSO,REVERSO ブラウン
kw159732478,159732478,REVERSO,REVERSO ブラック
kw159732548,159732548,REVERSO,REVERSO レッド
kw159732568,159732568,REVERSO,REVERSO ワイン
kw161703696,161703696,TWIST,TWIST アイボリー
kw145958545,145958545,TWIST,TWIST イエロー
kw145959044,145959044,TWIST,TWIST オリーブ
kw145958466,145958466,TWIST,TWIST グレー
kw145958402,145958402,TWIST,TWIST ダークブラウン
kw145958035,145958035,TWIST,TWIST ナチュラル
kw145959279,145959279,TWIST,TWIST ネイビー
kw145958291,145958291,TWIST,TWIST ブラウン
kw155042339,155042339,TWIST,TWIST ブラック
kw145958630,145958630,TWIST,TWIST ワイン
ska46,170150003,ALASKA,ALASKA アイスブルー
ska42,141898992,ALASKA,ALASKA アイボリー
ska40,155535744,ALASKA,ALASKA イエロー
ska31,152578876,ALASKA,ALASKA オレンジ
ska43,155535799,ALASKA,ALASKA グリーン
ska13,148270635,ALASKA,ALASKA グレー
ska34,155536414,ALASKA,ALASKA ターコイズ
ska10,141891418,ALASKA,ALASKA チョコ
ska01,140336842,ALASKA,ALASKA ナチュラル
ska05,170150207,ALASKA,ALASKA ビリジアン
ska41,155536107,ALASKA,ALASKA ピンク
ska08,155535485,ALASKA,ALASKA ブラウン
ska12,141893632,ALASKA,ALASKA ブラック
ska16,148270455,ALASKA,ALASKA ブルー
ska06,152578868,ALASKA,ALASKA ラズベリー
ska33,155536219,ALASKA,ALASKA レッド
kw169160973,169160973,AMAZZONIA,AMAZZONIA イエロー
kw156744633,156744633,AMAZZONIA,AMAZZONIA オリーブ
kw156744560,156744560,AMAZZONIA,AMAZZONIA グリーン
kw156744695,156744695,AMAZZONIA,AMAZZONIA グレー
kw169161060,169161060,AMAZZONIA,AMAZZONIA ターコイズ
kw155784895,155784895,AMAZZONIA,AMAZZONIA ダークブラウン
kw140634418,140634418,AMAZZONIA,AMAZZONIA チョコ
kw156744751,156744751,AMAZZONIA,AMAZZONIA ネイビー
kw141886381,141886381,AMAZZONIA,AMAZZONIA ブラウン
kw141882810,141882810,AMAZZONIA,AMAZZONIA ブラック
kw143375840,143375840,AMAZZONIA,AMAZZONIA ブルー
kw141887558,141887558,AMAZZONIA,AMAZZONIA レッド
kw156742684,156742684,AMAZZONIA,AMAZZONIA ワイン
kw142151566,142151566,CRUST,CRUST エバノ
kw142151977,142151977,CRUST,CRUST コバルト
kw142151264,142151264,CRUST,CRUST ジアロ
kw176481776,176481776,CRUST,CRUST ナチュラーレ
kw142152473,142152473,CRUST,CRUST ネロ
kw171321838,171321838,CRUST,CRUST マローネ
kw171321870,171321870,CRUST,CRUST ミリターレ
kw142151671,142151671,CRUST,CRUST ロッソ
kw163439114,163439114,COUNTRY,COUNTRY グレー
kw163434696,163434696,COUNTRY,COUNTRY ダークブラウン
kw163434660,163434660,COUNTRY,COUNTRY ナチュラル
kw163434683,163434683,COUNTRY,COUNTRY ブラウン
kw163439240,163439240,COUNTRY,COUNTRY ブラック
kw163439020,163439020,COUNTRY,COUNTRY ブルー
kw163439070,163439070,COUNTRY,COUNTRY ベージュ
kw163434620,163434620,COUNTRY,COUNTRY ホワイト
kw163438954,163438954,COUNTRY,COUNTRY レッド
kw163438818,163438818,COUNTRY,COUNTRY ヴァイオレット
mano08,189376362,MARIANO,MARIANO オリーブ
mano13,189376376,MARIANO,MARIANO グレー
mano32,189376357,MARIANO,MARIANO ダークブラウン
mano01,189376345,MARIANO,MARIANO ナチュラル
mano18,189376367,MARIANO,MARIANO ネイビー
mano06,189376351,MARIANO,MARIANO ブラウン
mano07,189376385,MARIANO,MARIANO ブラック
kw177973946,177973946,LINEA VASCA Liscio,LINEA VASCA Liscio オルティーカ
kw177973886,177973886,LINEA VASCA Liscio,LINEA VASCA Liscio カスターニャ
kw177973956,177973956,LINEA VASCA Liscio,LINEA VASCA Liscio コバルト
kw177973864,177973864,LINEA VASCA Liscio,LINEA VASCA Liscio セサンタ（60）
kw177973871,177973871,LINEA VASCA Liscio,LINEA VASCA Liscio ダークブラウン
kw177973968,177973968,LINEA VASCA Liscio,LINEA VASCA Liscio トッポ
kw180707713,180707713,LINEA VASCA Liscio,LINEA VASCA Liscio トルケーゼ
kw180707712,180707712,LINEA VASCA Liscio,LINEA VASCA Liscio ナチュラーレ
kw177973960,177973960,LINEA VASCA Liscio,LINEA VASCA Liscio ネイビー
kw177973979,177973979,LINEA VASCA Liscio,LINEA VASCA Liscio ネロ
kw177973910,177973910,LINEA VASCA Liscio,LINEA VASCA Liscio フクシア
kw177973918,177973918,LINEA VASCA Liscio,LINEA VASCA Liscio フラゴラ
kw177973924,177973924,LINEA VASCA Liscio,LINEA VASCA Liscio ヴェルデ
lvb_ort,174657061,LINEA VASCA Box,LINEA VASCA Box オルティーカ
lvb_cas,174657044,LINEA VASCA Box,LINEA VASCA Box カスターニャ
lvb_cob,174657065,LINEA VASCA Box,LINEA VASCA Box コバルト
lvb_ses,174657027,LINEA VASCA Box,LINEA VASCA Box セサンタ（60）
lvb_dkb,174657035,LINEA VASCA Box,LINEA VASCA Box ダークブラウン
lvb_top,174657080,LINEA VASCA Box,LINEA VASCA Box トッポ（灰）
lvb_tur,180707715,LINEA VASCA Box,LINEA VASCA Box トルケーゼ
lvb_nat,180707714,LINEA VASCA Box,LINEA VASCA Box ナチュラーレ
lvb_nav,174657071,LINEA VASCA Box,LINEA VASCA Box ネイビー
lvb_ner,174657087,LINEA VASCA Box,LINEA VASCA Box ネロ（黒）
lvb_fux,174657048,LINEA VASCA Box,LINEA VASCA Box フクシア
lvb_fra,174657051,LINEA VASCA Box,LINEA VASCA Box フラゴラ
lvb_ver,174657054,LINEA VASCA Box,LINEA VASCA Box ヴェルデ（緑）
mfog_all,174217722,MARGOT FOG,MARGOT FOG アローロ
mfog_cas,174217690,MARGOT FOG,MARGOT FOG カスターニャ
mfog_cob,174218213,MARGOT FOG,MARGOT FOG コバルト
mfog_gir,174217715,MARGOT FOG,MARGOT FOG ジラソーレ
mfog_top,174218224,MARGOT FOG,MARGOT FOG トッポ（灰）
mfog_tur,174217729,MARGOT FOG,MARGOT FOG トルケーゼ（青緑）
mfog_nat,174217652,MARGOT FOG,MARGOT FOG ナチュラーレ
mfog_nav,174218218,MARGOT FOG,MARGOT FOG ネイビー
mfog_ner,174218268,MARGOT FOG,MARGOT FOG ネロ（黒）
mfog_fux,174217697,MARGOT FOG,MARGOT FOG フクシア
mfog_fra,174217708,MARGOT FOG,MARGOT FOG フラゴラ
mfog_brn,174217655,MARGOT FOG,MARGOT FOG ブラウン
