key,ds_price,note
# key はカタログの id（優先）または系列タグ。単価はカワムラレザー公式サイト記載のds単価（税込・2026-07-03調査）
numer_25,105,生成りヌメ2.5-3.0mm
kw152579135,132,生成りヌメ3.5-4.0mm
kw158695092,66,ヌメベリー（公式記載なし・価格÷面積の計算値）
ALASKA,179,
MARGOT FOG,178,
MARGOT,174,
LINEA VASCA Box,196,
LINEA VASCA Liscio,196,
MARIANO,187,
BULGARO,196,
NEBRASKA,196,
TENDER,237,
REVERSO,154,
TWIST,182,
AMAZZONIA,193,
CRUST,187,
COUNTRY,187,
TEXAS,149,
SIBILLA Liscio,154,
AVANCORPI,138,
HORSE BUTT,264,茶芯ブラックはやや高めの可能性（要調整）
kw171930317,1155,ROCADO CLASSIC
kw171930324,1155,ROCADO CLASSIC
kw171930332,1155,ROCADO CLASSIC
kw171930342,1155,ROCADO CLASSIC
kw171930338,1155,ROCADO CLASSIC
kw171930351,1155,ROCADO CLASSIC
kw171930369,1155,ROCADO CLASSIC
kw171930365,1155,ROCADO CLASSIC
kw171930360,1155,ROCADO CLASSIC
kw171930353,1155,ROCADO CLASSIC
kw171930418,1320,ROCADO MARBLED
kw171930394,1320,ROCADO MARBLED
kw171930424,1320,ROCADO MARBLED
kw171930400,1320,ROCADO MARBLED
kw171930407,1320,ROCADO MARBLED
kw171930388,1320,ROCADO MARBLED
kw171930433,1320,ROCADO MARBLED
kw171930430,1320,ROCADO MARBLED
kw171930411,1320,ROCADO MARBLED
kw175312214,1320,ROCADO MUSEUM
kw175312185,1320,ROCADO MUSEUM
kw175312202,1320,ROCADO MUSEUM
kw175312193,1320,ROCADO MUSEUM
kw186275867,1320,ROCADO MUSEUM
kw175312220,1320,ROCADO MUSEUM
kw175312207,1320,ROCADO MUSEUM
kw179755605,1100,ROCADO NATURAL
kw158501313,2090,HORWEEN（公式ds単価記載なし・20ds換算の参考値／要調整）
kw158501354,2090,HORWEEN（公式ds単価記載なし・20ds換算の参考値／要調整）
kw158501390,2090,HORWEEN（公式ds単価記載なし・20ds換算の参考値／要調整）
kw180263913,2090,HORWEEN（公式ds単価記載なし・20ds換算の参考値／要調整）
kw187307532,2090,HORWEEN（公式ds単価記載なし・20ds換算の参考値／要調整）
kw157331202,2090,HORWEEN（公式ds単価記載なし・20ds換算の参考値／要調整）
CHROMEXCEL,264,
DELOREAN,171,
LAUNDERED,138,
DRITTON G8,110,
DROID,97,
