id,name,stock_pct,note
numer_25,生成りヌメ革 2.5-3.0mm,,
ska01,ALASKA ナチュラル,0,
ska10,ALASKA チョコ,0,
ska08,ALASKA ブラウン,40,
ska12,ALASKA ブラック,90,
ska13,ALASKA グレー,0,
ska42,ALASKA アイボリー,0,
ska33,ALASKA レッド,0,
ska06,ALASKA ラズベリー,25,
ska41,ALASKA ピンク,90,
ska31,ALASKA オレンジ,70,
ska40,ALASKA イエロー,0,
ska43,ALASKA グリーン,0,
ska05,ALASKA ビリジアン,5,
ska34,ALASKA ターコイズ,0,
ska16,ALASKA ブルー,40,
ska46,ALASKA アイスブルー,45,
mfog_nat,MARGOT FOG ナチュラーレ,60,
mfog_brn,MARGOT FOG ブラウン,65,
mfog_cas,MARGOT FOG カスターニャ,0,
mfog_ner,MARGOT FOG ネロ（黒）,85,
mfog_top,MARGOT FOG トッポ（灰）,0,
mfog_fux,MARGOT FOG フクシア,45,
mfog_fra,MARGOT FOG フラゴラ,0,
mfog_gir,MARGOT FOG ジラソーレ,35,
mfog_all,MARGOT FOG アローロ,60,
mfog_cob,MARGOT FOG コバルト,60,
mfog_nav,MARGOT FOG ネイビー,45,
mfog_tur,MARGOT FOG トルケーゼ（青緑）,5,
mg_nat,MARGOT ナチュラーレ,0,
mg_fie,MARGOT フィエーノ,0,
mg_brn,MARGOT ブラウン,0,
mg_cas,MARGOT カスターニャ,0,
mg_dkb,MARGOT ダークブラウン,0,
mg_bos,MARGOT ボスコ,0,
mg_ner,MARGOT ネロ（黒）,0,
mg_top,MARGOT トッポ（灰）,0,
mg_fra,MARGOT フラゴラ,0,
mg_fux,MARGOT フクシア,0,
mg_bur,MARGOT バーガンディ,40,
mg_ros,MARGOT ローサ（桃）,0,
mg_lil,MARGOT リラ（薄紫）,0,
mg_gir,MARGOT ジラソーレ,0,
mg_man,MARGOT マンダリーノ,0,
mg_men,MARGOT メンタ（薄緑）,0,
mg_all,MARGOT アローロ,0,
mg_olm,MARGOT オルモ,0,
mg_tur,MARGOT トルケーゼ,0,
mg_nav,MARGOT ネイビー,0,
lvb_ses,LINEA VASCA Box セサンタ（60）,50,
lvb_nat,LINEA VASCA Box ナチュラーレ,0,
lvb_cas,LINEA VASCA Box カスターニャ,0,
lvb_dkb,LINEA VASCA Box ダークブラウン,0,
lvb_ner,LINEA VASCA Box ネロ（黒）,100,
lvb_top,LINEA VASCA Box トッポ（灰）,65,
lvb_fra,LINEA VASCA Box フラゴラ,100,
lvb_fux,LINEA VASCA Box フクシア,0,
lvb_ver,LINEA VASCA Box ヴェルデ（緑）,0,
lvb_ort,LINEA VASCA Box オルティーカ,0,
lvb_tur,LINEA VASCA Box トルケーゼ,0,
lvb_cob,LINEA VASCA Box コバルト,0,
lvb_nav,LINEA VASCA Box ネイビー,0,
mano01,MARIANO ナチュラル,60,
mano06,MARIANO ブラウン,60,
mano32,MARIANO ダークブラウン,0,
mano07,MARIANO ブラック,0,
mano13,MARIANO グレー,0,
mano08,MARIANO オリーブ,60,
mano18,MARIANO ネイビー,25,
