thread_id,name,label,available,note
sc_2,ビニモMBT #2,#2,TRUE,
sc_4,ビニモMBT #4,#4,TRUE,
sc_6,ビニモMBT #6,#6,TRUE,
sc_7,ビニモMBT #7,#7,TRUE,
sc_9,ビニモMBT #9,#9,TRUE,
sc_11,ビニモMBT #11,#11,TRUE,
sc_13,ビニモMBT #13,#13,TRUE,
sc_14,ビニモMBT #14,#14,TRUE,
sc_15,ビニモMBT #15,#15,TRUE,
sc_16,ビニモMBT #16,#16,TRUE,
sc_17,ビニモMBT #17,#17,TRUE,
sc_18,ビニモMBT #18,#18,TRUE,
sc_19,ビニモMBT #19,#19,TRUE,
sc_21,ビニモMBT #21,#21,TRUE,
sc_23,ビニモMBT #23,#23,TRUE,
sc_24,ビニモMBT #24,#24,TRUE,
sc_25,ビニモMBT #25,#25,TRUE,
sc_26,ビニモMBT #26,#26,TRUE,
sc_28,ビニモMBT #28,#28,TRUE,
sc_31,ビニモMBT #31,#31,TRUE,
sc_32,ビニモMBT #32,#32,TRUE,
sc_33,ビニモMBT #33,#33,TRUE,
sc_34,ビニモMBT #34,#34,TRUE,
sc_35,ビニモMBT #35,#35,TRUE,
sc_36,ビニモMBT #36,#36,TRUE,
sc_37,ビニモMBT #37,#37,TRUE,
sc_38,ビニモMBT #38,#38,TRUE,
sc_39,ビニモMBT #39,#39,TRUE,
sc_41,ビニモMBT #41,#41,TRUE,
sc_42,ビニモMBT #42,#42,TRUE,
sc_45,ビニモMBT #45,#45,TRUE,
sc_46,ビニモMBT #46,#46,TRUE,
sc_47,ビニモMBT #47,#47,TRUE,
sc_48,ビニモMBT #48,#48,TRUE,
sc_49,ビニモMBT #49,#49,TRUE,
sc_52,ビニモMBT #52,#52,TRUE,
sc_53,ビニモMBT #53,#53,TRUE,
sc_55,ビニモMBT #55,#55,TRUE,
sc_57,ビニモMBT #57,#57,TRUE,
sc_61,ビニモMBT #61,#61,TRUE,
sc_100,ビニモMBT #100,#100,TRUE,
sc_101,ビニモMBT #101,#101,TRUE,
sc_102,ビニモMBT #102,#102,TRUE,
sc_103,ビニモMBT #103,#103,TRUE,
sc_104,ビニモMBT #104,#104,TRUE,
sc_105,ビニモMBT #105,#105,TRUE,
sc_106,ビニモMBT #106,#106,TRUE,
sc_108,ビニモMBT #108,#108,TRUE,
sc_109,ビニモMBT #109,#109,TRUE,
sc_113,ビニモMBT #113,#113,TRUE,
sc_114,ビニモMBT #114,#114,TRUE,
sc_121,ビニモMBT #121,#121,TRUE,
sc_123,ビニモMBT #123,#123,TRUE,
sc_124,ビニモMBT #124,#124,TRUE,
sc_125,ビニモMBT #125,#125,TRUE,
sc_126,ビニモMBT #126,#126,TRUE,
sc_128,ビニモMBT #128,#128,TRUE,
sc_129,ビニモMBT #129,#129,TRUE,
sc_132,ビニモMBT #132,#132,TRUE,
sc_134,ビニモMBT #134,#134,TRUE,
sc_136,ビニモMBT #136,#136,TRUE,
sc_137,ビニモMBT #137,#137,TRUE,
sc_140,ビニモMBT #140,#140,TRUE,
sc_143,ビニモMBT #143,#143,TRUE,
sc_144,ビニモMBT #144,#144,TRUE,
sc_145,ビニモMBT #145,#145,TRUE,
sc_146,ビニモMBT #146,#146,TRUE,
sc_147,ビニモMBT #147,#147,TRUE,
sc_148,ビニモMBT #148,#148,TRUE,
sc_149,ビニモMBT #149,#149,TRUE,
sc_150,ビニモMBT #150,#150,TRUE,
sc_151,ビニモMBT #151,#151,TRUE,
sc_152,ビニモMBT #152,#152,TRUE,
sc_153,ビニモMBT #153,#153,TRUE,
sc_154,ビニモMBT #154,#154,TRUE,
sc_155,ビニモMBT #155,#155,TRUE,
sc_156,ビニモMBT #156,#156,TRUE,
sc_157,ビニモMBT #157,#157,TRUE,
sc_170,ビニモMBT #170,#170,TRUE,
sc_171,ビニモMBT #171,#171,TRUE,
sc_172,ビニモMBT #172,#172,TRUE,
sc_173,ビニモMBT #173,#173,TRUE,
sc_174,ビニモMBT #174,#174,TRUE,
sc_175,ビニモMBT #175,#175,TRUE,
sc_176,ビニモMBT #176,#176,TRUE,
sc_177,ビニモMBT #177,#177,TRUE,
sc_178,ビニモMBT #178,#178,TRUE,
sc_179,ビニモMBT #179,#179,TRUE,
sc_180,ビニモMBT #180,#180,TRUE,
sc_181,ビニモMBT #181,#181,TRUE,
sc_black,ビニモMBT ブラック,BLK,TRUE,
sc_white,ビニモMBT ホワイト,WHT,TRUE,
